Source,End_Hour,Start_Hour,Date,Production
Wind,13,12,12/9/2021,6822
Wind,5,4,10/22/2021,2148
Solar,13,12,8/18/2023,7556
Wind,16,15,8/26/2020,10494
Wind,2,1,5/17/2023,7393
Wind,15,14,12/10/2024,9436
Wind,17,16,9/4/2023,10840
Wind,22,21,6/15/2023,2306
Wind,7,6,1/12/2021,12614
Wind,8,7,4/23/2021,5325
Wind,22,21,5/28/2020,4838
Wind,1,0,4/17/2023,3728
Wind,7,6,1/12/2020,7023
Wind,5,4,11/29/2024,7114
Wind,21,20,4/28/2025,4319
Solar,11,10,6/10/2020,3435
Wind,18,17,2/15/2025,3299
Wind,19,18,3/25/2023,9938
Wind,20,19,10/4/2021,4512
Wind,7,6,8/3/2023,11952
Wind,2,1,8/27/2022,2886
Wind,18,17,2/8/2021,1809
Wind,17,16,2/5/2023,10704
Wind,22,21,4/27/2021,1594
Wind,2,1,12/8/2021,10646
Wind,22,21,9/29/2022,1181
Wind,1,0,8/14/2025,3432
Wind,9,8,8/12/2023,2514
Wind,1,0,4/25/2022,3834
Wind,7,6,3/12/2025,2812
Wind,0,23,1/2/2023,4165
Wind,0,23,6/23/2021,2524
Solar,15,14,1/27/2024,5047
Solar,13,12,4/19/2022,5004
Wind,7,6,11/2/2020,11975
Wind,23,22,2/25/2025,11904
Wind,5,4,9/30/2025,1402
Wind,23,22,3/18/2023,3908
Wind,8,7,11/25/2020,6287
Wind,16,15,11/11/2020,3805
Wind,6,5,5/26/2022,3427
Wind,21,20,4/27/2020,2041
Wind,7,6,7/26/2021,1744
Wind,8,7,7/1/2024,2190
Wind,13,12,10/13/2022,6261
Wind,19,18,4/9/2021,5113
Wind,1,0,10/10/2021,2713
Wind,12,11,4/22/2023,8274
Wind,0,23,1/22/2022,1705
Wind,22,21,10/6/2024,8155
Wind,5,4,5/4/2020,772
Wind,6,5,11/6/2022,7347
Solar,13,12,8/16/2024,8933
Wind,17,16,12/15/2020,2633
Wind,20,19,1/4/2021,3018
Wind,16,15,2/17/2022,14562
Wind,8,7,2/22/2020,8585
Solar,13,12,2/3/2025,6618
Solar,13,12,5/16/2022,7824
Wind,16,15,3/20/2025,8861
Wind,18,17,10/8/2021,6180
Wind,5,4,1/11/2025,2047
Wind,4,3,10/29/2024,1443
Wind,9,8,5/25/2021,9963
Wind,19,18,4/20/2022,4079
Wind,21,20,7/28/2023,4401
Wind,9,8,1/25/2022,376
Wind,1,0,11/12/2024,8295
Wind,5,4,7/2/2021,524
Wind,23,22,4/30/2022,4244
Wind,7,6,3/18/2024,2178
Wind,0,23,12/28/2023,13532
Wind,23,22,4/4/2023,4225
Wind,20,19,6/19/2022,7351
Solar,13,12,10/27/2021,5370
Wind,17,16,1/24/2025,14158
Wind,22,21,6/22/2021,3591
Wind,19,18,7/25/2021,5105
Wind,8,7,12/1/2021,13835
Wind,21,20,3/1/2020,8419
Wind,5,4,3/28/2024,14967
Wind,23,22,1/3/2020,4207
Wind,0,23,11/25/2024,6573
Solar,16,15,5/5/2023,8449
Wind,6,5,4/27/2025,4156
